Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL,15/01/2019,"3,399",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,299",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,989",
SAO LUIS,ETANOL,15/01/2019,"3,499",
SAO LUIS,DIESEL S10,15/01/2019,"3,299",
SAO LUIS,GASOLINA,16/01/2019,"4,099",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,099",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"4,099",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,16/01/2019,"4,099",
SAO LUIS,DIESEL S10,16/01/2019,"3,499",
SAO LUIS,GASOLINA,15/01/2019,"3,999",
SAO LUIS,DIESEL S10,15/01/2019,"3,499",
SAO LUIS,GASOLINA,24/01/2019,"4,099",
SAO LUIS,ETANOL,24/01/2019,"3,549",
SAO LUIS,DIESEL,24/01/2019,"3,449",
SAO LUIS,DIESEL S10,24/01/2019,"3,549",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,469",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL,23/01/2019,"3,399",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,999","3,6388"
SAO LUIS,DIESEL,23/01/2019,"3,399",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,549",
SAO LUIS,GASOLINA,23/01/2019,"3,989","3,6004"
SAO LUIS,DIESEL,23/01/2019,"3,399","3,0469"
SAO LUIS,DIESEL S10,23/01/2019,"3,499","3,0899"
SAO LUIS,GASOLINA,24/01/2019,"3,999","3,6492"
SAO LUIS,ETANOL,24/01/2019,"3,549","3,2505"
SAO LUIS,DIESEL S10,24/01/2019,"3,469",
SAO LUIS,GASOLINA,24/01/2019,"3,969",
SAO LUIS,DIESEL,24/01/2019,"3,399",
SAO LUIS,DIESEL S10,24/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,989",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,499",
SAO LUIS,GASOLINA,24/01/2019,"3,999","3,6592"
SAO LUIS,ETANOL,24/01/2019,"3,549","3,2244"
SAO LUIS,DIESEL S10,24/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"3,989",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,24/01/2019,"3,989",
SAO LUIS,DIESEL S10,24/01/2019,"3,349",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
