Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
FORTALEZA,GNV,02/01/2019,"3,37",
FORTALEZA,GASOLINA,02/01/2019,"4,349","3,9267"
FORTALEZA,ETANOL,02/01/2019,"3,59","3,1289"
FORTALEZA,DIESEL S10,02/01/2019,"3,719","3,2247"
FORTALEZA,GNV,02/01/2019,"3,379","2,756"
FORTALEZA,GASOLINA,08/01/2019,"4,17","3,7962"
FORTALEZA,ETANOL,08/01/2019,"3,279",
FORTALEZA,DIESEL S10,08/01/2019,"3,47","3,3368"
FORTALEZA,GASOLINA,08/01/2019,"4,29","3,7869"
FORTALEZA,ETANOL,08/01/2019,"3,59",
FORTALEZA,DIESEL S10,08/01/2019,"3,79","3,3548"
FORTALEZA,GASOLINA,08/01/2019,"4,179",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,679",
FORTALEZA,GASOLINA,08/01/2019,"4,25",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,34","3,8176"
FORTALEZA,ETANOL,08/01/2019,"3,629",
FORTALEZA,DIESEL S10,08/01/2019,"3,799","3,3659"
FORTALEZA,GASOLINA,08/01/2019,"4,199",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,779",
FORTALEZA,GASOLINA,08/01/2019,"4,29","3,8476"
FORTALEZA,ETANOL,08/01/2019,"3,598",
FORTALEZA,DIESEL S10,08/01/2019,"3,699","3,3256"
FORTALEZA,GASOLINA,08/01/2019,"4,26",
FORTALEZA,ETANOL,08/01/2019,"3,59",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,259",
FORTALEZA,ETANOL,08/01/2019,"3,459",
FORTALEZA,DIESEL S10,08/01/2019,"3,589",
FORTALEZA,GASOLINA,08/01/2019,"4,259",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,32",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,8",
FORTALEZA,GNV,08/01/2019,"3,49",
FORTALEZA,GASOLINA,08/01/2019,"4,259",
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,659",
FORTALEZA,GASOLINA,08/01/2019,"4,29","3,7628"
FORTALEZA,ETANOL,08/01/2019,"3,49","3,1356"
FORTALEZA,DIESEL S10,08/01/2019,"3,69","3,2756"
FORTALEZA,GASOLINA,08/01/2019,"4,26",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,598",
FORTALEZA,GASOLINA,08/01/2019,"4,24",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,199",
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GNV,08/01/2019,"3,399",
FORTALEZA,GASOLINA,08/01/2019,"4,179",
FORTALEZA,ETANOL,08/01/2019,"3,39",
