Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
TERESINA,DIESEL S10,14/01/2019,"3,589","3,2231"
TERESINA,GASOLINA,15/01/2019,"4,359",
TERESINA,ETANOL,15/01/2019,"3,299",
TERESINA,DIESEL S10,15/01/2019,"3,599",
TERESINA,GASOLINA,16/01/2019,"4,269","3,8127"
TERESINA,ETANOL,16/01/2019,"3,199","3,0616"
TERESINA,GASOLINA,14/01/2019,"4,299",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,DIESEL,14/01/2019,"3,459",
TERESINA,DIESEL S10,14/01/2019,"3,499",
TERESINA,GASOLINA,16/01/2019,"4,299",
TERESINA,ETANOL,16/01/2019,"3,199",
TERESINA,DIESEL,16/01/2019,"3,459",
TERESINA,DIESEL S10,16/01/2019,"3,499",
TERESINA,GASOLINA,16/01/2019,"4,399","3,9682"
TERESINA,ETANOL,16/01/2019,"3,299","3,0566"
TERESINA,DIESEL,16/01/2019,"3,699","3,2258"
TERESINA,DIESEL S10,16/01/2019,"3,799","3,2533"
TERESINA,GASOLINA,16/01/2019,"4,299",
TERESINA,ETANOL,16/01/2019,"3,299",
TERESINA,DIESEL,16/01/2019,"3,459",
TERESINA,DIESEL S10,16/01/2019,"3,499",
TERESINA,GASOLINA,15/01/2019,"4,299",
TERESINA,ETANOL,15/01/2019,"3,199",
TERESINA,DIESEL S10,15/01/2019,"3,599",
TERESINA,GASOLINA,14/01/2019,"4,359",
TERESINA,ETANOL,14/01/2019,"3,299",
TERESINA,DIESEL,14/01/2019,"3,599",
TERESINA,GASOLINA,21/01/2019,"4,359",
TERESINA,ETANOL,21/01/2019,"3,299",
TERESINA,GASOLINA,22/01/2019,"4,49",
TERESINA,DIESEL S10,22/01/2019,"3,49",
TERESINA,GASOLINA,21/01/2019,"4,359",
TERESINA,DIESEL S10,21/01/2019,"3,599",
TERESINA,GASOLINA,21/01/2019,"4,359",
TERESINA,ETANOL,21/01/2019,"3,299",
TERESINA,DIESEL,21/01/2019,"3,459",
TERESINA,DIESEL S10,21/01/2019,"3,499",
TERESINA,GASOLINA,21/01/2019,"4,359",
TERESINA,ETANOL,21/01/2019,"3,299",
TERESINA,DIESEL,21/01/2019,"3,459",
TERESINA,DIESEL S10,21/01/2019,"3,499",
